Career Cluster,Career Pathway,Code,Occupation
"Agriculture, Food and Natural Resources",Agribusiness Systems,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Agribusiness Systems,27-4011.00,Audio and Video Equipment Technicians
"Agriculture, Food and Natural Resources",Agribusiness Systems,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
"Agriculture, Food and Natural Resources",Agribusiness Systems,25-9021.00,Farm and Home Management Advisors
"Agriculture, Food and Natural Resources",Agribusiness Systems,13-1074.00,Farm Labor Contractors
"Agriculture, Food and Natural Resources",Agribusiness Systems,11-3031.02,"Financial Managers, Branch or Department"
"Agriculture, Food and Natural Resources",Agribusiness Systems,19-1012.00,Food Scientists and Technologists
"Agriculture, Food and Natural Resources",Agribusiness Systems,27-1024.00,Graphic Designers
"Agriculture, Food and Natural Resources",Agribusiness Systems,27-3022.00,Reporters and Correspondents
"Agriculture, Food and Natural Resources",Agribusiness Systems,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
"Agriculture, Food and Natural Resources",Animal Systems,19-4011.00,Agricultural and Food Science Technicians
"Agriculture, Food and Natural Resources",Animal Systems,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Animal Systems,19-4011.01,Agricultural Technicians
"Agriculture, Food and Natural Resources",Animal Systems,45-2021.00,Animal Breeders
"Agriculture, Food and Natural Resources",Animal Systems,19-1011.00,Animal Scientists
"Agriculture, Food and Natural Resources",Animal Systems,39-2011.00,Animal Trainers
"Agriculture, Food and Natural Resources",Animal Systems,11-9013.03,Aquacultural Managers
"Agriculture, Food and Natural Resources",Animal Systems,25-9021.00,Farm and Home Management Advisors
"Agriculture, Food and Natural Resources",Animal Systems,11-9013.02,Farm and Ranch Managers
"Agriculture, Food and Natural Resources",Animal Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
"Agriculture, Food and Natural Resources",Animal Systems,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
"Agriculture, Food and Natural Resources",Animal Systems,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
"Agriculture, Food and Natural Resources",Animal Systems,45-1011.06,First-Line Supervisors of Aquacultural Workers
"Agriculture, Food and Natural Resources",Animal Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"Agriculture, Food and Natural Resources",Animal Systems,41-1011.00,First-Line Supervisors of Retail Sales Workers
"Agriculture, Food and Natural Resources",Animal Systems,19-4011.02,Food Science Technicians
"Agriculture, Food and Natural Resources",Animal Systems,45-3021.00,Hunters and Trappers
"Agriculture, Food and Natural Resources",Animal Systems,39-2021.00,Nonfarm Animal Caretakers
"Agriculture, Food and Natural Resources",Animal Systems,29-1131.00,Veterinarians
"Agriculture, Food and Natural Resources",Animal Systems,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
"Agriculture, Food and Natural Resources",Animal Systems,29-2056.00,Veterinary Technologists and Technicians
"Agriculture, Food and Natural Resources",Animal Systems,19-1023.00,Zoologists and Wildlife Biologists
"Agriculture, Food and Natural Resources",Environmental Service Systems,13-1041.01,Environmental Compliance Inspectors
"Agriculture, Food and Natural Resources",Environmental Service Systems,17-3025.00,Environmental Engineering Technicians
"Agriculture, Food and Natural Resources",Environmental Service Systems,17-2081.00,Environmental Engineers
"Agriculture, Food and Natural Resources",Environmental Service Systems,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
"Agriculture, Food and Natural Resources",Environmental Service Systems,47-4041.00,Hazardous Materials Removal Workers
"Agriculture, Food and Natural Resources",Environmental Service Systems,29-9011.00,Occupational Health and Safety Specialists
"Agriculture, Food and Natural Resources",Environmental Service Systems,29-9012.00,Occupational Health and Safety Technicians
"Agriculture, Food and Natural Resources",Environmental Service Systems,37-2021.00,Pest Control Workers
"Agriculture, Food and Natural Resources",Environmental Service Systems,51-9199.01,Recycling and Reclamation Workers
"Agriculture, Food and Natural Resources",Environmental Service Systems,53-1021.01,Recycling Coordinators
"Agriculture, Food and Natural Resources",Environmental Service Systems,49-9021.02,Refrigeration Mechanics and Installers
"Agriculture, Food and Natural Resources",Environmental Service Systems,53-7081.00,Refuse and Recyclable Material Collectors
"Agriculture, Food and Natural Resources",Environmental Service Systems,51-8031.00,Water and Wastewater Treatment Plant and System Operators
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,19-4011.00,Agricultural and Food Science Technicians
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-2011.00,Agricultural Inspectors
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,19-4011.01,Agricultural Technicians
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,11-9013.03,Aquacultural Managers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3021.00,Butchers and Meat Cutters
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,19-4031.00,Chemical Technicians
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,15-1151.00,Computer User Support Specialists
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,11-9013.02,Farm and Ranch Managers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-1011.06,First-Line Supervisors of Aquacultural Workers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-1011.05,First-Line Supervisors of Logging Workers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3092.00,Food Batchmakers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3093.00,Food Cooking Machine Operators and Tenders
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,19-4011.02,Food Science Technicians
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,19-1012.00,Food Scientists and Technologists
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,45-2041.00,"Graders and Sorters, Agricultural Products"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,39-2021.00,Nonfarm Animal Caretakers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,43-9071.00,"Office Machine Operators, Except Computer"
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,37-2021.00,Pest Control Workers
"Agriculture, Food and Natural Resources",Food Products and Processing Systems,51-3023.00,Slaughterers and Meat Packers
"Agriculture, Food and Natural Resources",Natural Resources Systems,11-9013.03,Aquacultural Managers
"Agriculture, Food and Natural Resources",Natural Resources Systems,25-1042.00,"Biological Science Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
"Agriculture, Food and Natural Resources",Natural Resources Systems,17-1021.00,Cartographers and Photogrammetrists
"Agriculture, Food and Natural Resources",Natural Resources Systems,49-9092.00,Commercial Divers
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1031.00,Conservation Scientists
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5041.00,Continuous Mining Machine Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7011.00,Conveyor Operators and Tenders
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5011.00,"Derrick Operators, Oil and Gas"
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5021.00,"Earth Drillers, Except Oil and Gas"
"Agriculture, Food and Natural Resources",Natural Resources Systems,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4091.00,"Environmental Science and Protection Technicians, Including Health"
"Agriculture, Food and Natural Resources",Natural Resources Systems,25-1053.00,"Environmental Science Teachers, Postsecondary"
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-2041.00,"Environmental Scientists and Specialists, Including Health"
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7032.00,Excavating and Loading Machine and Dragline Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-4021.00,Fallers
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-1011.06,First-Line Supervisors of Aquacultural Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"Agriculture, Food and Natural Resources",Natural Resources Systems,33-3031.00,Fish and Game Wardens
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-3011.00,Fishers and Related Fishing Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4093.00,Forest and Conservation Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-4011.00,Forest and Conservation Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-1032.00,Foresters
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7071.00,Gas Compressor and Gas Pumping Station Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,51-8092.00,Gas Plant Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4041.00,Geological and Petroleum Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4041.02,Geological Sample Test Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,19-4041.01,Geophysical Data Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5081.00,Helpers--Extraction Workers
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7051.00,Industrial Truck and Tractor Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7033.00,"Loading Machine Operators, Underground Mining"
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-4023.00,Log Graders and Scalers
"Agriculture, Food and Natural Resources",Natural Resources Systems,45-4022.00,Logging Equipment Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,17-3027.00,Mechanical Engineering Technicians
"Agriculture, Food and Natural Resources",Natural Resources Systems,47-5042.00,Mine Cutting and Channeling Machine Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,53-7111.00,Mine Shuttle Car Operators
"Agriculture, Food and Natural Resources",Natural Resources Systems,11-9121.00,Natural Sciences Managers
