,Occupation,Subset,Mean
0,Accountant,0,5.7
1,Actor,5,5.7
2,Actress,6,5.5
3,Actuary for an Insurance Company,3,5.0
4,Acupuncturist,1,4.5
5,Addressing-Machine Operator,11,3.5
6,Administrative Assistant,2,4.8
7,Advertising Executive,2,5.4
8,Advertising Salesman,11,4.1
9,Aerobics Instructor,8,3.9
10,Aeronautical Engineer,8,6.9
11,Agricultural Fruit Inspector for Insect Control,9,5.2
12,Agricultural Research Director,5,6.0
13,Agricultural Research Engineer,4,6.3
14,Aide on a Land Survey Crew,1,3.7
15,Air Conditioning Mechanic,11,4.6
16,Air Traffic Controller,6,6.2
17,Aircraft Electrician,2,5.7
18,Aircraft Riveter,6,4.6
19,Airline flight attendant,7,4.6
20,Airline Flight Engineer,3,6.2
21,Airline Ground Crew Chief,8,4.8
22,Airline Pilot,5,6.6
23,Airline Refueler,6,4.6
24,Airline Ticket Agent,2,4.0
25,Airplane Mechanic,3,5.5
26,Airport Security Screener,12,4.4
27,Ambulance Driver,8,4.6
28,Animal Shelter Worker,10,4.1
29,Animal Trapper,9,3.3
30,Animal-Control Officer,6,4.1
31,Apartment Building Manager,7,4.3
32,App Designer,6,5.5
33,Apprentice Electrician,5,4.6
34,Apprentice Plumber,12,4.3
35,Apprentice Sheet Metalsmith,4,3.8
36,Apprentice to a Machinist,2,4.0
37,Apprentice to a Master Craftsman,8,4.1
38,Architect,6,6.7
39,Army Private,5,4.9
40,Artificial Limb Fitter,5,5.4
41,Assembly Line Worker,0,3.7
42,Astronaut,4,7.4
43,Attendant in an Ice-Skating Rink,9,2.6
44,Auctioneer,2,3.9
45,Author,10,6.3
46,Auto Wrecker,3,3.2
47,Autobody Repairer,7,4.3
48,Automobile Dealer,10,4.3
49,Automobile Mechanic,5,4.7
50,Automobile Painter,10,4.1
51,Automobile Repairman,6,4.6
52,Automobile Repairwoman,4,4.6
53,Backhoe Operator,9,4.3
54,Bail Bond Provider,10,4.2
55,Bailing-Machine Operator,9,3.9
56,Baker,11,4.6
57,Ballet Dancer,9,4.9
58,Bank Examiner,9,5.3
59,Bank Teller,7,4.2
60,Banker,0,6.1
61,Barber,0,4.0
62,Bartender,0,3.6
63,Battery Assembler,10,3.8
64,Beauty Operator,12,4.0
65,Beer Maker,1,3.7
66,Bell Boy in a Hotel,3,3.0
67,Betting Clerk,12,2.9
68,Bicycle Messenger,3,3.3
69,Bicycle Repairer,10,3.3
70,Bill Collector,2,3.0
71,Billing Clerk,3,4.3
72,Billing-Machine Operator,4,4.2
73,Biologist,3,6.9
74,Biomedical Engineer,5,6.9
75,Blackjack Dealer,1,2.9
76,Black-Top-Machine Operator,1,3.7
77,Blast Furnace Helper in a Steel Mill,3,3.5
78,Blasting Powder Carrier in a Mine,3,3.7
79,Boardinghouse Keeper,2,3.2
80,Boilermaker,4,3.9
81,Bookbinding Machine Operator,7,3.6
82,Bookkeeper,5,4.6
83,Boom Operator at a Marine Loading Dock,6,4.7
84,Border Patrol Agent,1,5.3
85,Bottle Capping Machine Operator,11,3.0
86,Bottled-Water Delivery Driver,11,3.1
87,Bottle-Washing-Machine Operator,4,2.8
88,Box-Folding-Machine Operator,11,3.2
89,Branch Manager of a Bank,7,5.7
90,Bricklayer,5,4.2
91,Bridal Consultant,1,3.7
92,Bridge Ironworker,5,4.8
93,Brokerage Clerk,2,4.8
94,Budget Examiner,6,4.9
95,Building Contractor,3,5.4
96,Bulldozer Mechanic,9,4.3
97,Burglar Alarm Installer,5,4.1
98,Bus Driver,0,3.9
99,Business Entrepreneur,2,5.8
100,Business Services Sales Representative,10,4.5
101,Businessman,10,5.5
102,Butcher in a Store,1,3.7
103,Cabinet Maker,3,4.4
104,Cable TV Installer,1,3.6
