,SOC code,JobOpenings
6,11-1011,58.4
7,11-1021,688.8
8,11-1031,12.9
10,11-2011,11.4
12,11-2021,64.2
13,11-2022,108
14,11-2031,27.1
16,11-3011,77.2
17,11-3021,94.8
18,11-3031,169.3
19,11-3051,49.1
20,11-3061,17.9
21,11-3071,27.1
22,11-3111,6
23,11-3121,46.6
24,11-3131,11.9
26,11-9013,158.4
27,11-9021,70.1
29,11-9031,22.9
30,11-9032,83.8
31,11-9033,66.1
32,11-9039,12.5
33,11-9041,59.5
34,11-9051,77.1
35,11-9061,7.4
36,11-9071,0.8
37,11-9081,13
38,11-9111,140.5
39,11-9121,13.3
40,11-9131,3.8
41,11-9141,79.9
42,11-9151,49.8
43,11-9161,1.9
44,11-9199,255.4
47,13-1011,6.8
49,13-1021,3.3
50,13-1022,49.1
51,13-1023,82.7
53,13-1031,84
54,13-1032,3.8
55,13-1041,45.3
56,13-1051,79.5
58,13-1071,139.3
59,13-1074,0
60,13-1075,20
61,13-1081,20.6
62,13-1111,208.5
63,13-1121,21.8
64,13-1131,17.1
65,13-1141,24
66,13-1151,80.4
67,13-1161,151.4
68,13-1199,166.9
70,13-2011,498
71,13-2021,20.5
72,13-2031,16.7
73,13-2041,34.3
75,13-2051,89.4
76,13-2052,136.4
77,13-2053,19.5
78,13-2061,13.1
80,13-2071,10.5
81,13-2072,75
83,13-2081,27.8
84,13-2082,24.1
85,13-2099,21.9
88,15-1111,6
90,15-1121,191.6
91,15-1122,25.5
93,15-1131,81
94,15-1132,238
95,15-1133,107.9
96,15-1134,58.6
98,15-1141,39.2
99,15-1142,79.4
100,15-1143,31.5
102,15-1151,150.5
103,15-1152,36.9
104,15-1199,37.7
106,15-2011,11.7
107,15-2021,1.3
108,15-2031,43.9
109,15-2041,15.4
111,15-2091,0.2
112,15-2099,0.4
116,17-1011,26.3
117,17-1012,4.9
119,17-1021,7.4
120,17-1022,13.7
122,17-2011,20.7
123,17-2021,0.7
124,17-2031,10.9
125,17-2041,10
126,17-2051,106.7
127,17-2061,18.4
129,17-2071,41.1
130,17-2072,30.3
131,17-2081,22.4
133,17-2111,9
134,17-2112,72.8
135,17-2121,2.9
136,17-2131,9.2
137,17-2141,102.5
138,17-2151,2.7
139,17-2161,4.4
140,17-2171,13
141,17-2199,33
144,17-3011,11.1
145,17-3012,5.2
146,17-3013,7.8
147,17-3019,1.7
149,17-3021,3.2
150,17-3022,21.6
151,17-3023,34.1
152,17-3024,3.7
153,17-3025,6.4
154,17-3026,16.3
155,17-3027,12.8
156,17-3029,17.1
157,17-3031,6.5
161,19-1011,1.2
162,19-1012,5.9
163,19-1013,7.3
165,19-1021,11.9
166,19-1022,6.8
167,19-1023,6.6
168,19-1029,9.7
170,19-1031,10.6
171,19-1032,8
173,19-1041,2.2
174,19-1042,42.4
175,19-1099,4
178,19-2011,0.4
179,19-2012,4.9
180,19-2021,3.3
182,19-2031,22.4
183,19-2032,1.8
185,19-2041,39.3
186,19-2042,15
187,19-2043,2.6
188,19-2099,3
190,19-3011,7
191,19-3022,3.9
193,19-3031,63.8
194,19-3032,0.8
195,19-3039,5.2
196,19-3041,0.3
197,19-3051,9.4
199,19-3091,1.2
200,19-3092,0.2
201,19-3093,0.5
202,19-3094,0.7
203,19-3099,4.2
205,19-4011,12.4
