,SOC code,"JobSatisfaction_GSS (score from 0 to 1, in 4 steps - 0, 1/3, 2/3, 1)"
13872, 43-9071,1
3172, 43-9071,1
1684, 43-9071,1
664,11-1011,1
438,11-1011,1
7633,11-1011,0.666666667
10604,11-1011,1
3371,11-1011,0.666666667
9843,11-1011,0.833333333
5232,11-1011,1
8328,11-1011,1
4639,11-1011,1
12890,11-1011,1
4254,11-1011,0.666666667
10290,11-1011,1
4613,11-1011,0.333333333
11349,11-1011,0.916666667
8703,11-1011,1
812,11-1011,0.666666667
1157,11-1011,1
4587,11-1011,1
8681,11-1011,1
7261,11-1011,0.666666667
9686,11-1011,0.5
8161,11-1011,0.666666667
13521,11-1011,0.666666667
2229,11-1011,1
11261,11-1011,1
5155,11-1011,1
4367,11-1011,1
12657,11-1011,1
6367,11-1011,1
13950,11-1011,0.666666667
10045,11-1011,1
8923,11-1011,1
10948,11-1011,0.666666667
12614,11-1011,0
1853,11-1011,1
283,11-1011,0.666666667
11007,11-1011,1
11020,11-1011,0.333333333
6141,11-1011,1
1891,11-1011,0.666666667
7965,11-1011,0.666666667
8990,11-1011,1
10790,11-1011,0.5
9945,11-1011,0.833333333
13882,11-1011,0.833333333
5104,11-1011,0.666666667
7845,11-1011,1
8806,11-1011,1
4080,11-1011,0.666666667
2086,11-1011,1
6157,11-1011,1
13272,11-1011,0.666666667
3104,11-1011,1
121,11-1011,1
12662,11-1011,1
9388,11-1011,0.833333333
7688,11-1011,1
2569,11-1011,0.666666667
674,11-1011,0.666666667
6690,11-1011,0.666666667
9632,11-1011,1
11924,11-1011,0.666666667
4405,11-1011,0.666666667
1233,11-1011,1
13688,11-1011,1
2520,11-1011,0.916666667
659,11-1011,1
11859,11-1011,0.75
8609,11-1011,1
12971,11-1011,1
2910,11-1011,1
5671,11-1011,1
2522,11-1011,1
13597,11-1011,0.833333333
7436,11-1021,1
936,11-1021,1
1306,11-1021,1
11148,11-1021,0.75
10722,11-1021,0.666666667
6988,11-1021,0.5
11159,11-1021,0.666666667
11162,11-1021,1
13660,11-1021,0.166666667
2168,11-1021,0.5
10653,11-1021,1
1596,11-1021,1
7004,11-1021,0.666666667
5166,11-1021,1
4169,11-1021,0
14074,11-1021,0.833333333
1092,11-1021,0.666666667
9515,11-1021,1
4775,11-1021,1
2012,11-1021,0.666666667
6882,11-1021,1
6892,11-1021,0.666666667
13131,11-1021,0.833333333
14166,11-1021,0.666666667
4943,11-1021,1
7560,11-1021,1
10114,11-1021,0.833333333
10115,11-1021,1
9483,11-1021,0.833333333
1844,11-1021,1
11009,11-1021,0.916666667
6856,11-1021,0.666666667
9449,11-1021,1
12570,11-1021,1
5710,11-1021,1
9503,11-1021,1
11059,11-1021,0.916666667
4801,11-1021,1
17,11-1021,1
6284,11-1021,0.666666667
6263,11-1021,1
6121,11-1021,1
1980,11-1021,0.666666667
662,11-1021,0.666666667
13275,11-1021,1
2216,11-1021,1
709,11-1021,0.666666667
10274,11-1021,0.666666667
5226,11-1021,1
8649,11-1021,1
1451,11-1021,1
2479,11-1021,1
4638,11-1021,1
9707,11-1021,0.666666667
9368,11-1021,1
10283,11-1021,0.666666667
13027,11-1021,0.5
10368,11-1021,0.666666667
9733,11-1021,0.5
4271,11-1021,1
11557,11-1021,0.833333333
9596,11-1021,0.833333333
11360,11-1021,1
7078,11-1021,1
7325,11-1021,0.666666667
11418,11-1021,1
7065,11-1021,0.833333333
1449,11-1021,0.666666667
11386,11-1021,0.666666667
2481,11-1021,0.666666667
11303,11-1021,1
11978,11-1021,1
11262,11-1021,0.333333333
1411,11-1021,0.666666667
7034,11-1021,0.833333333
10352,11-1021,0.666666667
10414,11-1021,0.666666667
12848,11-1021,0.833333333
13675,11-1021,0.5
11264,11-1021,0.333333333
2647,11-1021,1
9592,11-1021,0.666666667
4368,11-1021,0.666666667
3993,11-1031,0.833333333
8227,11-1031,1
244,Nov-11,1
12757,Nov-11,0.333333333
7866,Nov-11,1
6,Nov-11,1
4661,Nov-11,1
45,Nov-11,0.666666667
8296,Nov-20,0.666666667
779,Nov-20,0.333333333
299,Nov-20,0.666666667
5855,Nov-20,1
10064,Nov-20,0.166666667
12639,Nov-20,1
4991,Nov-20,0.666666667
2431,Nov-20,1
9465,Nov-20,0.666666667
7092,Nov-20,1
9677,Nov-20,1
10969,Nov-20,0.833333333
3053,Nov-20,1
12635,Nov-20,1
1823,Nov-20,0.666666667
2523,Nov-20,0.833333333
4905,Nov-20,1
5645,Nov-20,0.666666667
2226,Nov-20,1
3694,Nov-20,0.916666667
12284,Nov-20,1
6132,Nov-20,0.666666667
5548,Nov-20,1
3465,Nov-20,0.916666667
2626,Nov-20,0.666666667
11898,Nov-20,0.666666667
9166,Nov-20,1
8019,Nov-20,1
3499,Nov-20,0.333333333
6167,Nov-20,0.333333333
12387,Nov-20,0.666666667
912,Nov-20,0.666666667
383,Nov-20,1
9170,Nov-20,0.333333333
3348,Nov-20,0.666666667
9908,Nov-20,0.666666667
3331,Nov-20,0.666666667
12517,Nov-20,1
7967,Nov-20,1
11683,Nov-20,1
9508,Nov-20,1
11257,Nov-20,1
9444,Nov-20,0.833333333
8463,Nov-20,1
2337,Nov-20,0.666666667
11348,Nov-20,1
11122,Nov-20,1
6226,Nov-20,1
13878,Nov-20,0.666666667
5828,Nov-20,1
3569,Nov-20,1
6230,Nov-20,0.5
7098,Nov-20,0.666666667
8998,Nov-20,1
7765,Nov-20,0
1094,Nov-20,0.333333333
6789,Nov-20,0.666666667
10222,Nov-20,1
7840,Nov-20,1
1624,Nov-20,1
1632,Nov-20,1
12776,Nov-20,0.666666667
8518,Nov-20,1
10183,Nov-20,0.666666667
10777,Nov-20,1
7856,Nov-20,1
8605,Nov-20,1
12752,Nov-20,0.833333333
10829,Nov-20,0.666666667
13,Nov-20,1
7785,Nov-20,0.666666667
7859,Nov-20,0.666666667
8636,Nov-20,0.666666667
10256,Nov-20,1
8582,Nov-20,1
4398,Nov-20,1
7889,Nov-20,0.666666667
1573,Nov-20,0.666666667
8530,Nov-20,1
1575,Nov-20,0.666666667
7558,Nov-20,0.5
8682,Nov-20,1
13127,Nov-20,0.666666667
6561,Nov-20,0.666666667
1324,Nov-20,0.666666667
1327,Nov-20,1
1489,Nov-20,1
7882,Nov-20,0.666666667
1479,Nov-20,1
1340,Nov-20,0.666666667
6798,Nov-20,0.833333333
7338,Nov-31,1
11547,Nov-31,0.666666667
13279,Nov-31,1
8008,Nov-31,0.666666667
3492,Nov-31,0.916666667
12345,Nov-31,0.666666667
9874,Nov-31,1
5173,Nov-31,1
5092,Nov-11,0.666666667
952,Nov-11,0.666666667
156,Nov-11,0.666666667
10659,Nov-11,0.833333333
13720,Nov-11,1
1606,Nov-11,0.666666667
11576,Nov-11,1
8538,Nov-11,0.666666667
8186,Nov-11,0.666666667
10935,Nov-11,0.666666667
11168,Nov-21,0.916666667
7585,Nov-21,0.833333333
7766,Nov-21,0.666666667
8367,Nov-21,1
11263,Nov-21,1
11136,Nov-21,0.666666667
12713,Nov-21,0.666666667
11147,Nov-21,0.916666667
1951,Nov-21,1
10719,Nov-21,1
4498,Nov-21,0.666666667
276,Nov-21,1
10412,Nov-21,1
2655,Nov-21,1
8735,Nov-21,0.666666667
2277,Nov-21,1
9690,Nov-21,0.833333333
1548,Nov-21,0.666666667
6496,Nov-21,1
12948,Nov-21,0.666666667
11170,Nov-21,0.916666667
2542,Nov-21,0.75
4838,Nov-21,1
151,Nov-21,0.666666667
27,Nov-21,0.666666667
7954,Nov-21,1
9715,Nov-21,0.666666667
12566,Nov-21,0.833333333
10591,Nov-21,1
1595,Nov-21,0.666666667
12550,Nov-21,0.833333333
12544,Nov-21,0.333333333
10546,Nov-21,1
8101,Nov-21,0
12718,Nov-21,0.666666667
314,Nov-21,1
13030,Nov-21,1
8226,Nov-21,0.666666667
5230,Nov-21,1
12851,Nov-31,0.833333333
7814,Nov-31,1
11438,Nov-31,0.916666667
5576,Nov-31,0.666666667
12286,Nov-31,0.666666667
13123,Nov-31,0.5
5658,Nov-31,0.666666667
2425,Nov-31,0.666666667
3177,Nov-31,0.666666667
2672,Nov-31,0.833333333
10520,Nov-31,1
11647,Nov-31,0.666666667
7537,Nov-31,1
2803,Nov-31,1
1831,Nov-31,1
2518,Nov-31,0.333333333
13974,Nov-31,0.666666667
11892,Nov-31,1
13470,Nov-31,1
13184,Nov-31,1
9296,Nov-31,0.666666667
12688,Nov-31,0.666666667
1484,Nov-31,1
5258,Nov-31,0.666666667
5679,Nov-31,1
1330,Nov-31,0.666666667
11587,Nov-31,1
5524,Nov-31,0.666666667
5287,Nov-31,0.333333333
4480,Nov-31,0.666666667
585,Nov-31,0.666666667
8319,Nov-31,0.333333333
13202,Nov-31,1
2370,Nov-31,0.666666667
2371,Nov-31,0.916666667
36,Nov-31,1
8254,Nov-31,1
8717,Nov-31,0.666666667
8493,Nov-31,1
1128,Nov-31,0.666666667
5844,Nov-31,1
3369,Nov-31,0.666666667
449,Nov-31,0.333333333
7134,Nov-31,1
10469,Nov-31,0.666666667
404,Nov-31,0.333333333
3029,Nov-31,0.916666667
2276,Nov-31,0.666666667
13787,Nov-31,1
3334,Nov-31,0
6379,Nov-31,1
