,SOC code,"JobZone (5 unique job zones, even though SVP range goes up to 8)"
495,11-1011.00,5
529,11-1011.03,5
540,11-1021.00,4
722,11-1031.00,4
522,11-2011.00,4
571,11-2021.00,4
555,11-2022.00,4
551,11-2031.00,4
521,11-3011.00,3
476,11-3021.00,4
511,11-3031.01,5
5,11-3031.02,4
543,11-3051.00,4
1630,11-3051.01,4
541,11-3051.02,3
524,11-3051.03,4
525,11-3051.04,4
542,11-3051.06,3
553,11-3061.00,4
560,11-3071.01,4
558,11-3071.02,4
1767,11-3071.03,4
513,11-3111.00,4
516,11-3121.00,4
519,11-3131.00,4
158,11-9013.01,3
18,11-9013.02,4
16,11-9013.03,4
181,11-9021.00,4
581,11-9031.00,4
579,11-9032.00,5
580,11-9033.00,5
577,11-9039.01,5
582,11-9039.02,4
268,11-9041.00,5
1653,11-9041.01,4
1003,11-9051.00,3
1020,11-9071.00,3
1007,11-9081.00,3
548,11-9111.00,5
110,11-9121.00,5
793,11-9121.01,4
1732,11-9121.02,4
727,11-9131.00,2
1075,11-9141.00,4
556,11-9151.00,4
720,11-9161.00,4
554,11-9199.01,4
531,11-9199.02,4
688,11-9199.03,5
1844,11-9199.04,4
1293,11-9199.07,4
1287,11-9199.08,4
562,11-9199.09,4
563,11-9199.10,4
526,11-9199.11,4
305,13-1011.00,4
2,13-1021.00,4
1508,13-1022.00,3
1459,13-1023.00,4
703,13-1031.01,4
704,13-1031.02,3
705,13-1032.00,3
32,13-1041.01,4
780,13-1041.02,3
777,13-1041.03,4
779,13-1041.04,3
775,13-1041.06,3
586,13-1041.07,4
184,13-1051.00,4
517,13-1071.00,4
4,13-1074.00,2
518,13-1075.00,4
544,13-1081.00,4
1607,13-1081.01,4
1766,13-1081.02,4
482,13-1111.00,5
1060,13-1121.00,4
514,13-1141.00,4
520,13-1151.00,4
547,13-1161.00,4
480,13-1199.01,3
1292,13-1199.02,4
1831,13-1199.03,3
1232,13-1199.04,4
485,13-1199.05,4
1498,13-1199.06,4
486,13-2011.01,4
488,13-2011.02,4
785,13-2021.01,3
1521,13-2021.02,4
475,13-2031.00,4
496,13-2041.00,4
497,13-2051.00,4
692,13-2052.00,4
710,13-2053.00,4
498,13-2061.00,4
670,13-2071.01,4
672,13-2072.00,3
509,13-2081.00,3
510,13-2082.00,3
693,13-2099.02,4
678,13-2099.04,4
841,15-1111.00,5
1172,15-1121.00,4
853,15-1121.01,4
1198,15-1122.00,4
315,15-1131.00,4
873,15-1132.00,4
287,15-1133.00,4
1221,15-1134.00,3
479,15-1141.00,4
1178,15-1142.00,4
1167,15-1143.00,4
1203,15-1143.01,3
53,15-1151.00,3
1190,15-1152.00,4
1219,15-1199.01,4
1173,15-1199.02,4
1181,15-1199.03,3
1689,15-1199.04,4
1686,15-1199.05,4
1196,15-1199.06,4
1164,15-1199.08,4
1177,15-1199.09,4
1554,15-1199.10,4
1220,15-1199.11,4
1176,15-1199.12,4
700,15-2011.00,4
1093,15-2021.00,5
286,15-2031.00,5
508,15-2041.00,5
1659,15-2041.01,5
792,15-2041.02,4
796,15-2091.00,4
266,17-1011.00,4
284,17-1012.00,4
75,17-1021.00,4
290,17-1022.00,4
1684,17-1022.01,4
1564,17-2011.00,4
1565,17-2021.00,4
791,17-2031.00,4
1574,17-2041.00,4
274,17-2051.00,4
1636,17-2051.01,4
1207,17-2061.00,4
1586,17-2071.00,4
1592,17-2072.00,4
1721,17-2072.01,4
34,17-2081.00,5
1638,17-2081.01,4
1606,17-2111.01,4
1598,17-2111.02,4
1629,17-2111.03,4
1605,17-2112.00,4
1602,17-2112.01,5
1612,17-2121.01,4
1611,17-2121.02,4
1614,17-2131.00,4
1616,17-2141.00,4
1599,17-2141.01,5
1571,17-2141.02,4
1619,17-2151.00,4
1623,17-2161.00,4
1627,17-2171.00,4
1572,17-2199.01,4
1637,17-2199.02,4
1593,17-2199.03,4
1609,17-2199.04,4
1617,17-2199.05,4
1618,17-2199.06,5
1628,17-2199.07,4
1631,17-2199.08,4
1620,17-2199.09,5
1639,17-2199.10,4
1632,17-2199.11,4
269,17-3011.01,4
272,17-3011.02,3
278,17-3012.01,3
277,17-3012.02,3
285,17-3013.00,3
1734,17-3021.00,4
273,17-3022.00,3
1312,17-3023.01,3
1309,17-3023.03,3
1587,17-3024.00,3
1352,17-3024.01,3
33,17-3025.00,4
1323,17-3026.00,3
107,17-3027.00,3
1570,17-3027.01,3
1708,17-3029.01,2
1585,17-3029.02,4
1588,17-3029.03,4
1591,17-3029.04,3
1604,17-3029.05,4
1608,17-3029.06,4
1615,17-3029.07,3
1345,17-3029.08,3
1427,17-3029.09,3
1621,17-3029.12,3
289,17-3031.01,3
724,17-3031.02,3
14,19-1011.00,5
6,19-1012.00,4
162,19-1013.00,5
790,19-1020.01,5
136,19-1021.00,5
1704,19-1022.00,5
31,19-1023.00,5
1654,19-1029.01,5
1705,19-1029.02,5
1683,19-1029.03,5
127,19-1031.01,4
116,19-1031.02,4
111,19-1031.03,4
96,19-1032.00,4
847,19-1041.00,5
798,19-1042.00,5
1649,19-2011.00,5
866,19-2012.00,5
1650,19-2021.00,4
1663,19-2031.00,4
1698,19-2032.00,5
85,19-2041.00,4
756,19-2041.01,5
1678,19-2041.02,5
1694,19-2041.03,5
1688,19-2042.00,4
1693,19-2043.00,4
1722,19-2099.01,5
137,19-3011.00,5
1677,19-3011.01,5
559,19-3022.00,5
596,19-3031.01,5
839,19-3031.02,5
899,19-3031.03,5
922,19-3032.00,5
938,19-3039.01,5
250,19-3041.00,5
761,19-3051.00,5
1642,19-3091.01,5
1645,19-3091.02,5
1685,19-3092.00,5
282,19-3093.00,5
726,19-3094.00,5
1834,19-3099.01,4
12,19-4011.01,3
25,19-4011.02,3
1297,19-4021.00,4
52,19-4031.00,3
101,19-4041.01,4
100,19-4041.02,4
820,19-4051.01,3
941,19-4051.02,3
1138,19-4061.00,4
755,19-4061.01,4
35,19-4091.00,4
1256,19-4092.00,4
94,19-4093.00,3
1720,19-4099.01,3
114,19-4099.02,4
1723,19-4099.03,4
874,21-1011.00,5
589,21-1012.00,5
1091,21-1013.00,5
860,21-1014.00,5
872,21-1015.00,5
1118,21-1021.00,4
1089,21-1022.00,5
883,21-1023.00,5
851,21-1091.00,4
1133,21-1092.00,4
989,21-1093.00,4
1081,21-2011.00,5
1086,21-2021.00,4
1274,23-1011.00,5
1272,23-1012.00,5
1267,23-1021.00,5
1268,23-1022.00,5
635,23-1023.00,5
1277,23-2011.00,3
338,23-2091.00,3
675,23-2093.00,3
494,25-1011.00,5
613,25-1021.00,5
503,25-1022.00,5
270,25-1031.00,5
279,25-1032.00,5
0,25-1041.00,5
73,25-1042.00,5
625,25-1043.00,5
605,25-1051.00,5
610,25-1052.00,5
84,25-1053.00,5
644,25-1054.00,5
600,25-1061.00,5
603,25-1062.00,5
535,25-1063.00,5
626,25-1064.00,5
646,25-1065.00,5
649,25-1066.00,5
251,25-1067.00,5
628,25-1071.00,5
642,25-1072.00,5
618,25-1081.00,5
593,25-1082.00,5
614,25-1111.00,5
637,25-1112.00,5
654,25-1113.00,5
307,25-1121.00,5
336,25-1122.00,5
341,25-1123.00,5
624,25-1124.00,5
630,25-1125.00,5
643,25-1126.00,5
627,25-1191.00,5
632,25-1192.00,5
117,25-1193.00,5
663,25-1194.00,3
648,25-2011.00,3
636,25-2012.00,4
619,25-2021.00,4
641,25-2022.00,4
608,25-2023.00,4
652,25-2031.00,4
609,25-2032.00,4
656,25-2052.00,4
657,25-2053.00,4
659,25-2054.00,4
597,25-2059.01,4
598,25-3011.00,4
