,SOC code,Administration and Management,Biology,Building and Construction,Chemistry,Clerical,Communications and Media,Computers and Electronics,Customer and Personal Service,Design,Economics and Accounting,Education and Training,Engineering and Technology,English Language,Fine Arts,Food Production,Foreign Language,Geography,History and Archeology,Law and Government,Mathematics,Mechanical,Medicine and Dentistry,Personnel and Human Resources,Philosophy and Theology,Physics,Production and Processing,Psychology,Public Safety and Security,Sales and Marketing,Sociology and Anthropology,Telecommunications,Therapy and Counseling,Transportation
495,11-1011.00,94,9,28,11,42,43,31,77,26,68,56,19,77,11,4,14,15,12,73,60,17,9,78,18,6,41,53,58,56,40,19,25,30
529,11-1011.03,71,36,67,34,40,46,41,66,68,49,62,59,70,10,16,10,37,20,47,53,41,6,43,21,37,31,47,35,63,35,15,6,36
721,11-1021.00,84,13,38,24,63,40,58,74,35,62,49,36,68,4,9,16,19,5,49,64,43,14,69,13,20,60,43,53,62,20,38,19,30
564,11-2011.00,78,3,3,2,53,83,61,70,49,30,37,8,84,48,5,17,16,9,22,42,4,0,35,12,2,53,41,20,72,18,52,7,15
1513,11-2021.00,76,3,5,5,50,70,63,71,54,53,51,44,87,18,3,16,30,17,47,63,8,7,43,16,5,37,36,38,96,26,47,16,17
572,11-2022.00,75,9,16,10,48,54,54,87,21,48,59,28,83,9,1,20,32,6,26,52,22,1,51,14,13,41,42,22,93,22,43,14,31
551,11-2031.00,80,1,10,1,54,85,50,86,21,41,38,9,89,18,0,18,13,18,33,35,3,19,62,17,1,29,41,28,82,31,32,11,10
521,11-3011.00,72,3,20,5,81,37,64,79,21,64,35,14,78,6,13,8,15,7,31,61,14,11,65,12,4,30,28,35,52,17,46,13,22
1166,11-3021.00,68,0,6,6,37,29,94,76,40,29,51,63,62,11,0,7,31,1,28,54,10,1,61,6,15,20,31,24,23,23,41,11,5
511,11-3031.01,80,6,10,5,33,36,53,40,12,95,38,13,74,5,3,12,13,13,63,75,7,14,62,11,3,31,33,26,21,23,24,14,15
500,11-3031.02,73,1,9,1,48,39,44,65,7,74,38,6,58,5,0,5,5,1,52,66,8,1,46,4,0,19,45,24,54,24,23,9,11
1419,11-3051.00,88,7,17,25,52,34,56,77,40,44,57,62,64,1,8,8,13,3,38,64,60,10,73,14,27,95,50,49,34,24,20,14,36
1630,11-3051.01,71,53,14,69,69,31,51,64,24,30,55,37,68,0,20,11,13,1,48,64,27,22,62,4,29,59,36,36,24,18,10,16,20
541,11-3051.02,80,30,56,62,61,35,59,48,63,52,64,70,69,4,4,19,25,16,59,72,85,22,67,26,64,75,49,73,20,28,45,32,41
524,11-3051.03,77,50,46,67,57,25,58,51,55,50,56,67,56,1,43,7,27,6,38,62,76,9,58,8,57,93,41,53,36,20,20,10,42
525,11-3051.04,73,23,44,63,56,29,53,54,43,56,54,70,64,0,21,13,15,1,52,64,75,14,54,12,63,78,45,54,18,13,21,30,46
542,11-3051.06,73,18,50,38,55,35,65,43,55,44,63,66,71,1,1,4,41,14,57,60,77,20,65,12,53,53,51,77,16,29,43,22,20
553,11-3061.00,76,16,28,22,47,40,48,64,33,61,39,44,75,4,11,25,32,13,66,66,41,7,61,15,13,72,46,33,39,29,36,9,63
734,11-3071.01,82,16,20,21,61,39,59,80,22,51,52,36,64,1,23,14,51,8,50,65,31,8,67,15,12,46,43,72,46,26,43,29,89
1821,11-3071.02,70,1,10,7,44,31,37,61,14,45,45,21,55,0,14,13,24,3,31,63,20,6,67,8,7,54,38,44,22,22,21,12,69
1767,11-3071.03,78,9,22,21,40,40,58,66,34,52,52,46,71,2,4,21,46,11,58,64,38,3,60,14,22,70,41,49,36,25,39,14,82
513,11-3111.00,75,1,0,0,42,36,29,51,4,54,38,3,72,0,0,12,8,6,56,69,0,12,93,14,0,13,41,16,22,26,12,16,12
516,11-3121.00,76,8,8,7,47,42,40,67,10,41,61,11,72,5,4,21,13,10,66,58,8,14,97,35,7,17,64,42,32,46,16,42,14
519,11-3131.00,81,5,8,8,47,62,48,78,17,42,93,17,89,17,11,22,14,20,46,48,21,9,79,36,6,36,69,38,52,56,37,36,14
158,11-9013.01,85,73,37,59,46,29,21,71,50,58,54,42,53,3,29,31,35,17,47,61,52,7,78,37,21,79,47,48,73,22,9,10,56
54,11-9013.02,80,61,48,53,44,23,45,38,38,69,65,53,60,1,89,6,35,2,47,76,62,26,49,12,35,72,26,52,55,14,25,14,52
135,11-9013.03,70,78,50,46,38,35,51,59,38,45,48,48,66,5,60,16,33,15,46,61,55,15,53,9,34,66,38,40,44,26,31,20,40
533,11-9021.00,76,16,95,27,50,37,53,64,71,50,45,76,80,4,1,9,26,9,48,71,61,6,44,6,38,44,32,61,41,11,38,12,36
581,11-9031.00,88,11,1,9,61,37,35,82,8,48,86,2,82,13,26,13,29,17,38,47,6,28,66,45,0,4,72,54,34,46,18,47,9
579,11-9032.00,91,19,21,14,60,68,69,86,27,45,92,23,93,41,9,33,29,38,65,51,20,25,72,48,11,33,71,76,37,56,35,55,32
580,11-9033.00,82,3,14,3,49,57,51,84,11,33,73,13,81,7,1,16,17,22,45,46,7,15,71,44,3,23,70,31,44,59,19,67,15
577,11-9039.01,76,2,8,5,54,81,81,85,43,40,94,30,79,13,1,14,10,8,24,34,13,4,55,17,5,29,39,18,46,34,59,14,9
582,11-9039.02,72,43,11,16,42,54,43,82,15,44,70,14,73,13,19,11,11,8,32,36,14,44,53,21,19,13,66,42,62,42,25,43,20
1204,11-9041.00,75,29,47,44,49,42,71,71,84,45,47,97,72,14,6,14,40,13,55,82,57,14,59,13,61,59,44,54,42,22,43,16,38
1653,11-9041.01,52,42,41,76,37,32,56,49,39,33,38,74,77,1,10,4,25,1,30,64,55,5,32,3,46,60,16,44,32,7,17,6,29
1003,11-9051.00,73,11,22,19,40,31,30,74,15,41,65,20,56,16,56,30,23,14,43,42,29,23,62,15,18,66,40,48,59,26,36,23,43
1020,11-9071.00,76,4,13,9,58,35,64,90,23,55,54,23,64,5,19,24,15,12,57,71,30,9,54,13,9,39,49,55,55,32,30,20,18
1022,11-9081.00,87,7,25,23,70,42,64,92,22,67,57,39,77,15,11,33,45,17,43,75,26,15,71,24,13,40,34,58,74,9,51,24,34
929,11-9111.00,81,37,8,14,68,37,67,73,17,52,56,15,80,2,3,12,4,6,63,52,12,53,68,13,5,45,40,51,20,25,26,23,5
1099,11-9121.00,72,58,20,52,49,42,51,65,31,31,41,46,72,2,4,5,46,26,57,63,27,14,50,8,31,36,37,39,32,25,23,8,29
793,11-9121.01,72,45,0,27,49,21,34,46,4,23,41,9,73,0,0,20,10,1,45,50,5,73,34,9,7,20,31,32,12,18,19,28,12
