,SOC code,LevelOfCompetition
27,11-1011.00,80
220,11-1011.03,62
246,11-1021.00,61
446,11-2011.00,53
63,11-2021.00,74
32,11-2022.00,79
124,11-2031.00,68
652,11-3011.00,45
153,11-3021.00,66
130,11-3031.01,68
100,11-3031.02,70
227,11-3051.00,62
125,11-3051.01,68
225,11-3051.02,62
512,11-3051.03,51
287,11-3051.04,59
431,11-3051.06,54
213,11-3061.00,63
312,11-3071.01,59
747,11-3071.02,42
174,11-3071.03,65
658,11-3111.00,45
399,11-3121.00,55
511,11-3131.00,52
469,11-9013.01,53
614,11-9013.02,47
315,11-9013.03,58
135,11-9021.00,67
794,11-9031.00,39
393,11-9032.00,55
325,11-9033.00,58
324,11-9039.01,58
397,11-9039.02,55
342,11-9041.00,57
169,11-9041.01,65
185,11-9051.00,64
637,11-9061.00,46
118,11-9071.00,68
209,11-9081.00,63
273,11-9111.00,60
359,11-9121.00,57
240,11-9121.01,61
257,11-9121.02,61
279,11-9131.00,60
475,11-9141.00,53
767,11-9151.00,41
326,11-9161.00,58
509,11-9199.01,52
491,11-9199.02,52
5,11-9199.03,89
128,11-9199.04,68
307,11-9199.07,59
228,11-9199.08,62
149,11-9199.09,67
391,11-9199.10,56
345,11-9199.11,57
12,13-1011.00,85
152,13-1021.00,66
285,13-1022.00,60
212,13-1023.00,63
81,13-1031.01,72
499,13-1031.02,52
331,13-1032.00,58
693,13-1041.01,44
725,13-1041.02,43
906,13-1041.03,30
398,13-1041.04,55
886,13-1041.06,32
547,13-1041.07,50
50,13-1051.00,75
738,13-1071.00,42
99,13-1074.00,70
247,13-1075.00,61
272,13-1081.00,60
566,13-1081.01,49
402,13-1081.02,55
75,13-1111.00,73
76,13-1121.00,73
245,13-1131.00,61
659,13-1141.00,45
550,13-1151.00,50
210,13-1161.00,63
612,13-1199.01,47
177,13-1199.02,65
82,13-1199.03,72
288,13-1199.04,59
482,13-1199.05,53
300,13-1199.06,59
415,13-2011.01,54
72,13-2011.02,73
630,13-2021.01,46
150,13-2021.02,66
346,13-2031.00,57
690,13-2041.00,44
48,13-2051.00,76
38,13-2052.00,78
500,13-2053.00,52
516,13-2061.00,51
752,13-2071.00,41
465,13-2071.01,53
56,13-2072.00,75
683,13-2081.00,45
256,13-2082.00,61
145,13-2099.02,67
374,13-2099.04,56
107,15-1111.00,69
221,15-1121.00,62
271,15-1121.01,60
643,15-1122.00,46
347,15-1131.00,57
80,15-1132.00,73
178,15-1133.00,65
166,15-1134.00,66
322,15-1141.00,58
542,15-1142.00,50
369,15-1143.00,56
364,15-1143.01,57
492,15-1151.00,52
553,15-1152.00,49
336,15-1199.01,58
154,15-1199.02,66
112,15-1199.03,69
269,15-1199.04,60
639,15-1199.05,46
223,15-1199.06,62
238,15-1199.08,61
189,15-1199.09,64
79,15-1199.10,73
21,15-1199.11,82
349,15-1199.12,57
113,15-2011.00,68
160,15-2021.00,66
275,15-2031.00,60
444,15-2041.00,54
418,15-2041.01,54
289,15-2041.02,59
17,17-1011.00,83
109,17-1012.00,69
451,17-1021.00,53
310,17-1022.00,59
757,17-1022.01,41
627,17-2011.00,46
487,17-2021.00,52
106,17-2031.00,69
239,17-2041.00,61
200,17-2051.00,63
215,17-2051.01,63
116,17-2061.00,68
582,17-2071.00,48
224,17-2072.00,62
412,17-2072.01,55
157,17-2081.00,66
70,17-2081.01,74
400,17-2111.01,55
423,17-2111.02,54
361,17-2111.03,57
796,17-2112.00,39
430,17-2112.01,54
727,17-2121.01,43
250,17-2121.02,61
466,17-2131.00,53
194,17-2141.00,64
171,17-2141.01,65
73,17-2141.02,73
467,17-2151.00,53
382,17-2161.00,56
277,17-2171.00,60
132,17-2199.01,67
530,17-2199.02,51
353,17-2199.03,57
358,17-2199.04,57
