,SOC code,Median Pay,High Meaning,High Satisfaction
215,11-1011.00,126000.0,0.74,0.88
390,11-1021.00,70900.0,0.57,0.75
851,11-2011.00,72900.0,0.3,0.69
671,11-2021.00,67100.0,0.44,0.7
625,11-2022.00,81100.0,0.46,0.75
291,11-3011.00,49300.0,0.65,0.78
555,11-3021.00,103000.0,0.49,0.72
600,11-3031.00,76800.0,0.47,0.77
506,11-3051.00,63500.0,0.52,0.7
568,11-3061.00,69400.0,0.49,0.73
614,11-3071.00,46700.0,0.47,0.7
434,11-3111.00,82800.0,0.55,0.79
350,11-3131.00,74200.0,0.6,0.77
387,11-9021.00,69700.0,0.58,0.74
7,11-9032.00,76700.0,0.95,0.88
182,11-9033.00,58800.0,0.77,0.76
139,11-9039.00,44300.0,0.8,0.77
730,11-9051.00,41200.0,0.41,0.66
509,11-9081.00,41100.0,0.52,0.72
79,11-9111.00,70800.0,0.84,0.81
174,11-9121.00,63900.0,0.77,0.73
582,11-9141.00,45000.0,0.48,0.75
109,11-9151.00,41300.0,0.82,0.76
422,11-9199.00,69400.0,0.55,0.73
749,13-1022.00,50200.0,0.39,0.66
688,13-1023.00,47700.0,0.43,0.65
683,13-1031.00,49000.0,0.43,0.67
836,13-1032.00,49100.0,0.32,0.65
650,13-1051.00,57300.0,0.44,0.68
584,13-1081.00,56800.0,0.48,0.7
653,13-1111.00,69700.0,0.44,0.7
537,13-1141.00,52800.0,0.51,0.73
407,13-1151.00,45300.0,0.56,0.75
764,13-2011.00,54600.0,0.38,0.71
727,13-2021.00,58400.0,0.41,0.72
401,13-2031.00,61300.0,0.56,0.68
775,13-2041.00,51600.0,0.37,0.7
755,13-2051.00,65500.0,0.39,0.68
386,13-2052.00,61300.0,0.58,0.77
788,13-2053.00,55000.0,0.37,0.7
501,13-2061.00,63500.0,0.52,0.74
339,13-2071.01,36100.0,0.61,0.63
468,13-2072.00,48700.0,0.53,0.74
807,13-2082.00,60800.0,0.35,0.68
488,13-2099.00,65800.0,0.52,0.71
635,15-1121.00,71100.0,0.46,0.69
564,15-1141.00,81000.0,0.49,0.72
630,15-1142.00,65500.0,0.46,0.7
793,15-2011.00,84100.0,0.36,0.8
796,15-2031.00,63400.0,0.36,0.67
254,15-2041.00,71100.0,0.69,0.72
406,17-1011.00,52500.0,0.56,0.7
242,17-1012.00,51000.0,0.71,0.73
134,17-1021.00,63100.0,0.8,0.97
433,17-1022.00,57600.0,0.55,0.7
302,17-2011.00,80900.0,0.64,0.71
114,17-2031.00,54900.0,0.82,0.69
345,17-2041.00,78000.0,0.61,0.73
264,17-2051.00,64300.0,0.68,0.71
464,17-2061.00,85900.0,0.53,0.71
383,17-2071.00,76400.0,0.58,0.72
326,17-2072.00,85800.0,0.62,0.67
248,17-2081.00,65600.0,0.7,0.72
208,17-2111.00,70500.0,0.75,0.74
588,17-2112.00,68000.0,0.48,0.7
476,17-2121.00,78800.0,0.53,0.75
553,17-2131.00,77100.0,0.5,0.65
471,17-2141.00,71000.0,0.53,0.69
270,17-2161.00,82300.0,0.67,0.67
274,17-2171.00,107000.0,0.66,0.8
481,17-2199.00,72100.0,0.52,0.68
579,17-3011.00,46100.0,0.48,0.66
608,17-3012.00,44900.0,0.47,0.67
470,17-3013.00,53800.0,0.53,0.69
312,17-3022.00,54300.0,0.63,0.63
504,17-3023.00,46600.0,0.52,0.64
411,17-3024.00,49400.0,0.56,0.72
593,17-3026.00,37900.0,0.47,0.64
