,SOC code,Active Learning,Active Listening,Complex Problem Solving,Coordination,Critical Thinking,Equipment Maintenance,Equipment Selection,Installation,Instructing,Judgment and Decision Making,Learning Strategies,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Mathematics,Monitoring,Negotiation,Operation Monitoring,Operation and Control,Operations Analysis,Persuasion,Programming,Quality Control Analysis,Reading Comprehension,Repairing,Science,Service Orientation,Social Perceptiveness,Speaking,Systems Analysis,Systems Evaluation,Technology Design,Time Management,Troubleshooting,Writing
528,11-1011.00,75,78,85,81,85,0,3,0,53,88,53,78,72,81,56,78,78,22,19,53,78,16,19,78,0,22,53,81,85,78,78,19,75,0,75
529,11-1011.03,63,72,75,66,75,0,3,0,56,69,60,41,35,60,44,66,47,31,16,41,66,16,31,75,0,19,56,69,75,66,66,16,60,3,72
721,11-1021.00,63,75,63,75,72,0,0,0,53,63,50,53,56,63,35,75,66,44,25,44,60,13,35,72,0,22,56,75,75,50,50,22,69,25,56
564,11-2011.00,56,75,63,63,69,0,6,0,47,69,44,47,38,53,50,56,60,16,6,47,56,10,22,69,0,13,53,75,75,53,50,16,72,3,69
1537,11-2021.00,72,72,66,63,72,0,0,0,50,69,53,47,41,60,44,69,66,19,0,60,69,22,22,72,0,19,53,72,72,56,63,19,63,0,56
555,11-2022.00,69,75,69,72,72,0,0,0,66,69,56,50,47,69,50,69,72,19,19,41,78,16,19,72,0,16,72,72,75,66,66,19,63,0,66
551,11-2031.00,56,81,66,69,69,0,0,0,50,66,44,53,41,60,44,63,60,19,3,41,69,16,22,78,0,13,60,78,85,63,63,13,66,0,78
835,11-3011.00,53,72,53,69,63,0,0,0,53,60,44,41,44,60,35,56,63,31,6,38,50,10,35,66,0,6,56,60,75,53,44,10,66,19,66
1206,11-3021.00,60,75,69,69,78,10,22,0,53,72,56,50,44,66,53,72,50,47,25,53,53,44,44,75,13,19,47,66,72,66,66,38,60,38,69
511,11-3031.01,69,72,75,69,78,0,0,0,47,78,50,75,41,50,72,66,50,16,0,44,50,22,22,75,0,13,47,56,75,60,60,13,63,0,66
5,11-3031.02,69,75,69,69,75,0,0,0,53,72,63,50,25,69,56,75,53,16,6,38,66,10,10,75,3,10,66,69,75,53,50,13,66,0,72
