,index (ignore),SOC code (occupation label),"Income (Yscore weighted with importance, formula in report)",Satisfaction,Learnability,Security,score (mean of the 4),color,Career Cluster,Career Pathway,Occupation
0,0,11-1011.00,3997.545801,681.9073066,-3257.938285,3160.033157,1145.386995,1,Business Management and Administration,Business Financial Management and Accounting,Chief Executives
1,1,11-1011.00,3997.545801,681.9073066,-3257.938285,3160.033157,1145.386995,1,Business Management and Administration,Management,Chief Executives
2,2,11-1011.00,3997.545801,681.9073066,-3257.938285,3160.033157,1145.386995,1,Government and Public Administration,Governance,Chief Executives
3,3,11-1011.00,3997.545801,681.9073066,-3257.938285,3160.033157,1145.386995,1,Human Services,Family and Community Services,Chief Executives
4,4,11-1011.00,3997.545801,681.9073066,-3257.938285,3160.033157,1145.386995,1,"Transportation, Distribution and Logistics",Logistics Planning and Management Services,Chief Executives
5,68,11-9032.00,3716.029174,644.4376005,-3070.154627,2981.575684,1067.971958,0.905929262,Education and Training,Administration and Administrative Support,"Education Administrators, Elementary and Secondary School"
6,723,27-2022.00,3632.201767,641.1197599,-3001.332127,2966.742825,1059.683056,0.895857018,Education and Training,Administration and Administrative Support,Coaches and Scouts
7,724,27-2022.00,3632.201767,641.1197599,-3001.332127,2966.742825,1059.683056,0.895857018,Education and Training,Teaching/Training,Coaches and Scouts
8,90,11-9111.00,3679.255981,632.8753096,-3031.8747,2933.934677,1053.547817,0.888401794,Health Science,Therapeutic Services,Medical and Health Services Managers
9,89,11-9111.00,3679.255981,632.8753096,-3031.8747,2933.934677,1053.547817,0.888401794,Health Science,Health Informatics,Medical and Health Services Managers
10,87,11-9111.00,3679.255981,632.8753096,-3031.8747,2933.934677,1053.547817,0.888401794,Business Management and Administration,Management,Medical and Health Services Managers
11,88,11-9111.00,3679.255981,632.8753096,-3031.8747,2933.934677,1053.547817,0.888401794,Health Science,Diagnostic Services,Medical and Health Services Managers
12,104,11-9151.00,3624.724246,625.6970581,-2983.916864,2904.535112,1042.759888,0.875292862,Government and Public Administration,Governance,Social and Community Service Managers
13,107,11-9151.00,3624.724246,625.6970581,-2983.916864,2904.535112,1042.759888,0.875292862,Human Services,Family and Community Services,Social and Community Service Managers
14,103,11-9151.00,3624.724246,625.6970581,-2983.916864,2904.535112,1042.759888,0.875292862,Business Management and Administration,Management,Social and Community Service Managers
